participant,model,story_id,item_id
G01,UNO,68,story68_UNO
G01,QwenImageEdit-2509,24,story24_QwenImageEdit-2509
G01,StoryDiffusion_photomaker,29,story29_StoryDiffusion_photomaker
G01,Gemini,32,story32_Gemini
G01,NaiveBaseline,60,story60_NaiveBaseline
G01,NanoBanana,64,story64_NanoBanana
G02,UNO,68,story68_UNO
G02,NaiveBaseline,32,story32_NaiveBaseline
G02,Gemini,60,story60_Gemini
G02,QwenImageEdit-2509,64,story64_QwenImageEdit-2509
G02,NanoBanana,29,story29_NanoBanana
G02,StoryDiffusion_photomaker,24,story24_StoryDiffusion_photomaker
G03,NanoBanana,29,story29_NanoBanana
G03,UNO,32,story32_UNO
G03,Gemini,60,story60_Gemini
G03,QwenImageEdit-2509,68,story68_QwenImageEdit-2509
G03,NaiveBaseline,64,story64_NaiveBaseline
G03,StoryDiffusion_photomaker,24,story24_StoryDiffusion_photomaker
G04,UNO,60,story60_UNO
G04,NaiveBaseline,68,story68_NaiveBaseline
G04,NanoBanana,64,story64_NanoBanana
G04,QwenImageEdit-2509,29,story29_QwenImageEdit-2509
G04,StoryDiffusion_photomaker,24,story24_StoryDiffusion_photomaker
G04,Gemini,32,story32_Gemini
G05,StoryDiffusion_photomaker,64,story64_StoryDiffusion_photomaker
G05,Gemini,68,story68_Gemini
G05,QwenImageEdit-2509,60,story60_QwenImageEdit-2509
G05,NaiveBaseline,24,story24_NaiveBaseline
G05,NanoBanana,32,story32_NanoBanana
G05,UNO,29,story29_UNO
G06,StoryDiffusion_photomaker,68,story68_StoryDiffusion_photomaker
G06,QwenImageEdit-2509,64,story64_QwenImageEdit-2509
G06,Gemini,32,story32_Gemini
G06,NaiveBaseline,29,story29_NaiveBaseline
G06,UNO,24,story24_UNO
G06,NanoBanana,60,story60_NanoBanana
G07,Gemini,29,story29_Gemini
G07,StoryDiffusion_photomaker,68,story68_StoryDiffusion_photomaker
G07,NaiveBaseline,64,story64_NaiveBaseline
G07,UNO,24,story24_UNO
G07,NanoBanana,32,story32_NanoBanana
G07,QwenImageEdit-2509,60,story60_QwenImageEdit-2509
G08,StoryDiffusion_photomaker,29,story29_StoryDiffusion_photomaker
G08,Gemini,24,story24_Gemini
G08,NanoBanana,64,story64_NanoBanana
G08,QwenImageEdit-2509,32,story32_QwenImageEdit-2509
G08,UNO,60,story60_UNO
G08,NaiveBaseline,68,story68_NaiveBaseline
G09,NanoBanana,24,story24_NanoBanana
G09,Gemini,68,story68_Gemini
G09,QwenImageEdit-2509,64,story64_QwenImageEdit-2509
G09,NaiveBaseline,32,story32_NaiveBaseline
G09,StoryDiffusion_photomaker,29,story29_StoryDiffusion_photomaker
G09,UNO,60,story60_UNO
G10,StoryDiffusion_photomaker,32,story32_StoryDiffusion_photomaker
G10,NanoBanana,29,story29_NanoBanana
G10,QwenImageEdit-2509,60,story60_QwenImageEdit-2509
G10,NaiveBaseline,64,story64_NaiveBaseline
G10,UNO,24,story24_UNO
G10,Gemini,68,story68_Gemini
G11,NanoBanana,24,story24_NanoBanana
G11,QwenImageEdit-2509,29,story29_QwenImageEdit-2509
G11,Gemini,60,story60_Gemini
G11,NaiveBaseline,32,story32_NaiveBaseline
G11,UNO,68,story68_UNO
G11,StoryDiffusion_photomaker,64,story64_StoryDiffusion_photomaker
G12,Gemini,64,story64_Gemini
G12,UNO,29,story29_UNO
G12,StoryDiffusion_photomaker,32,story32_StoryDiffusion_photomaker
G12,QwenImageEdit-2509,68,story68_QwenImageEdit-2509
G12,NanoBanana,60,story60_NanoBanana
G12,NaiveBaseline,24,story24_NaiveBaseline
G13,Gemini,24,story24_Gemini
G13,UNO,64,story64_UNO
G13,QwenImageEdit-2509,68,story68_QwenImageEdit-2509
G13,NanoBanana,60,story60_NanoBanana
G13,StoryDiffusion_photomaker,32,story32_StoryDiffusion_photomaker
G13,NaiveBaseline,29,story29_NaiveBaseline
G14,QwenImageEdit-2509,29,story29_QwenImageEdit-2509
G14,Gemini,64,story64_Gemini
G14,UNO,32,story32_UNO
G14,NanoBanana,24,story24_NanoBanana
G14,StoryDiffusion_photomaker,60,story60_StoryDiffusion_photomaker
G14,NaiveBaseline,68,story68_NaiveBaseline
G15,QwenImageEdit-2509,24,story24_QwenImageEdit-2509
G15,NaiveBaseline,60,story60_NaiveBaseline
G15,NanoBanana,68,story68_NanoBanana
G15,StoryDiffusion_photomaker,64,story64_StoryDiffusion_photomaker
G15,Gemini,29,story29_Gemini
G15,UNO,32,story32_UNO
G16,QwenImageEdit-2509,32,story32_QwenImageEdit-2509
G16,NanoBanana,68,story68_NanoBanana
G16,StoryDiffusion_photomaker,60,story60_StoryDiffusion_photomaker
G16,UNO,29,story29_UNO
G16,NaiveBaseline,24,story24_NaiveBaseline
G16,Gemini,64,story64_Gemini
G17,UNO,64,story64_UNO
G17,StoryDiffusion_photomaker,60,story60_StoryDiffusion_photomaker
G17,NaiveBaseline,29,story29_NaiveBaseline
G17,Gemini,24,story24_Gemini
G17,QwenImageEdit-2509,32,story32_QwenImageEdit-2509
G17,NanoBanana,68,story68_NanoBanana
G18,NaiveBaseline,60,story60_NaiveBaseline
G18,UNO,64,story64_UNO
G18,StoryDiffusion_photomaker,68,story68_StoryDiffusion_photomaker
G18,NanoBanana,32,story32_NanoBanana
G18,QwenImageEdit-2509,24,story24_QwenImageEdit-2509
G18,Gemini,29,story29_Gemini
G19,QwenImageEdit-2509,52,story52_QwenImageEdit-2509
G19,StoryDiffusion_photomaker,79,story79_StoryDiffusion_photomaker
G19,UNO,8,story08_UNO
G19,NaiveBaseline,27,story27_NaiveBaseline
G19,Gemini,55,story55_Gemini
G19,NanoBanana,15,story15_NanoBanana
G20,NanoBanana,15,story15_NanoBanana
G20,Gemini,52,story52_Gemini
G20,StoryDiffusion_photomaker,27,story27_StoryDiffusion_photomaker
G20,UNO,8,story08_UNO
G20,QwenImageEdit-2509,79,story79_QwenImageEdit-2509
G20,NaiveBaseline,55,story55_NaiveBaseline
G21,StoryDiffusion_photomaker,79,story79_StoryDiffusion_photomaker
G21,UNO,27,story27_UNO
G21,Gemini,55,story55_Gemini
G21,NanoBanana,52,story52_NanoBanana
G21,QwenImageEdit-2509,15,story15_QwenImageEdit-2509
G21,NaiveBaseline,8,story08_NaiveBaseline
G22,StoryDiffusion_photomaker,15,story15_StoryDiffusion_photomaker
G22,NanoBanana,55,story55_NanoBanana
G22,QwenImageEdit-2509,8,story08_QwenImageEdit-2509
G22,Gemini,27,story27_Gemini
G22,UNO,79,story79_UNO
G22,NaiveBaseline,52,story52_NaiveBaseline
G23,NaiveBaseline,15,story15_NaiveBaseline
G23,NanoBanana,27,story27_NanoBanana
G23,QwenImageEdit-2509,79,story79_QwenImageEdit-2509
G23,UNO,8,story08_UNO
G23,StoryDiffusion_photomaker,55,story55_StoryDiffusion_photomaker
G23,Gemini,52,story52_Gemini
G24,UNO,52,story52_UNO
G24,QwenImageEdit-2509,55,story55_QwenImageEdit-2509
G24,Gemini,15,story15_Gemini
G24,StoryDiffusion_photomaker,27,story27_StoryDiffusion_photomaker
G24,NanoBanana,8,story08_NanoBanana
G24,NaiveBaseline,79,story79_NaiveBaseline
G25,UNO,15,story15_UNO
G25,NanoBanana,27,story27_NanoBanana
G25,QwenImageEdit-2509,55,story55_QwenImageEdit-2509
G25,StoryDiffusion_photomaker,52,story52_StoryDiffusion_photomaker
G25,NaiveBaseline,8,story08_NaiveBaseline
G25,Gemini,79,story79_Gemini
G26,UNO,79,story79_UNO
G26,NanoBanana,8,story08_NanoBanana
G26,NaiveBaseline,15,story15_NaiveBaseline
G26,StoryDiffusion_photomaker,55,story55_StoryDiffusion_photomaker
G26,QwenImageEdit-2509,27,story27_QwenImageEdit-2509
G26,Gemini,52,story52_Gemini
G27,Gemini,55,story55_Gemini
G27,UNO,52,story52_UNO
G27,QwenImageEdit-2509,8,story08_QwenImageEdit-2509
G27,NaiveBaseline,27,story27_NaiveBaseline
G27,StoryDiffusion_photomaker,79,story79_StoryDiffusion_photomaker
G27,NanoBanana,15,story15_NanoBanana
G28,Gemini,8,story08_Gemini
G28,NanoBanana,79,story79_NanoBanana
G28,NaiveBaseline,55,story55_NaiveBaseline
G28,StoryDiffusion_photomaker,15,story15_StoryDiffusion_photomaker
G28,UNO,52,story52_UNO
G28,QwenImageEdit-2509,27,story27_QwenImageEdit-2509
G29,UNO,15,story15_UNO
G29,Gemini,79,story79_Gemini
G29,StoryDiffusion_photomaker,55,story55_StoryDiffusion_photomaker
G29,NaiveBaseline,8,story08_NaiveBaseline
G29,QwenImageEdit-2509,27,story27_QwenImageEdit-2509
G29,NanoBanana,52,story52_NanoBanana
G30,UNO,79,story79_UNO
G30,Gemini,27,story27_Gemini
G30,NaiveBaseline,15,story15_NaiveBaseline
G30,StoryDiffusion_photomaker,8,story08_StoryDiffusion_photomaker
G30,QwenImageEdit-2509,55,story55_QwenImageEdit-2509
G30,NanoBanana,52,story52_NanoBanana
G31,UNO,55,story55_UNO
G31,NanoBanana,79,story79_NanoBanana
G31,NaiveBaseline,52,story52_NaiveBaseline
G31,QwenImageEdit-2509,8,story08_QwenImageEdit-2509
G31,Gemini,27,story27_Gemini
G31,StoryDiffusion_photomaker,15,story15_StoryDiffusion_photomaker
G32,QwenImageEdit-2509,79,story79_QwenImageEdit-2509
G32,Gemini,15,story15_Gemini
G32,UNO,27,story27_UNO
G32,NanoBanana,8,story08_NanoBanana
G32,StoryDiffusion_photomaker,52,story52_StoryDiffusion_photomaker
G32,NaiveBaseline,55,story55_NaiveBaseline
G33,QwenImageEdit-2509,15,story15_QwenImageEdit-2509
G33,UNO,27,story27_UNO
G33,NanoBanana,55,story55_NanoBanana
G33,StoryDiffusion_photomaker,8,story08_StoryDiffusion_photomaker
G33,Gemini,79,story79_Gemini
G33,NaiveBaseline,52,story52_NaiveBaseline
G34,QwenImageEdit-2509,15,story15_QwenImageEdit-2509
G34,Gemini,8,story08_Gemini
G34,UNO,55,story55_UNO
G34,NaiveBaseline,79,story79_NaiveBaseline
G34,NanoBanana,27,story27_NanoBanana
G34,StoryDiffusion_photomaker,52,story52_StoryDiffusion_photomaker
